author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/309781515/;Москва;sale;flat;19;20;1;45.76;24509056;Даниловский;Автозаводская ;26;Тульская;FORST
ID 71858637;homeowner;https://www.cian.ru/sale/flat/307535890/;Москва;sale;flat;17;17;2;49.1;14500000;; Александры Монаховой;87к2;Потапово;Бунинские луга
FORMA;developer;https://www.cian.ru/sale/flat/312768747/;Москва;sale;flat;4;7;2;57.9;25319670;Даниловский;;;Автозаводская;PAVE
Центр Недвижимости Татьяны Анисимовой;real_estate_agent;https://www.cian.ru/sale/flat/310316239/;Москва;sale;flat;21;23;2;72.0;22500000;Южное Бутово;Старокрымская ;17;Улица Скобелевская;Эталон-Сити
Виктория Демина;realtor;https://www.cian.ru/sale/flat/311924167/;Москва;sale;flat;2;12;2;51.0;26500000;Басманный; Фридриха Энгельса;7-21;Бауманская;
Absolute Premium;developer;https://www.cian.ru/sale/flat/311824202/;Москва;sale;flat;4;17;2;49.8;65448000;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/312893933/;Москва;sale;flat;8;20;2;52.8;25500000;Котловка;Нагорный бульвар;19к1;Нагорная;Приоритет
Елена Макущенко;realtor;https://www.cian.ru/sale/flat/310971786/;Москва;sale;flat;2;12;2;47.1;15970000;Лефортово;Энергетическая ;13;Авиамоторная;
MR Group;developer;https://www.cian.ru/sale/flat/309432129/;Москва;sale;flat;6;13;2;85.19;127282379;Мещанский;Садовая-Сухаревская ;14;Цветной бульвар;Клубный дом Forum
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/312583002/;Москва;sale;flat;3;21;1;70.7;85000000;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Beri;real_estate_agent;https://www.cian.ru/sale/flat/312897210/;Москва;sale;flat;8;12;2;38.3;17950000;Хорошевский; Куусинена;6К10;Полежаевская;
Dominanta;developer;https://www.cian.ru/sale/flat/304841949/;Москва;sale;flat;3;34;2;62.2;41176400;Раменки;проезд 4-й Сетуньский;10Ас2;Парк Победы;hideOUT
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/307826522/;Москва;sale;flat;3;9;2;148.5;220000000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
ID 12262773;homeowner;https://www.cian.ru/sale/flat/312075022/;Москва;sale;flat;8;9;2;38.0;8500000;Матушкино;Зеленоград;к148;Зеленоград — Крюково;
Sminex;developer;https://www.cian.ru/sale/flat/309389694/;Москва;sale;flat;2;5;2;91.8;199990000;Тверской;;;Площадь Революции;Ильинка 3/8 ЖК
Мария Науменко;realtor;https://www.cian.ru/sale/flat/313090354/;Москва;sale;flat;12;12;2;41.0;13800000;Царицыно;Каспийская ;20к3;Царицыно;
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/312920168/;Москва;sale;flat;8;14;2;50.2;12500000;Братеево; Борисовские Пруды;34К2;Алма-Атинская;
Sminex;developer;https://www.cian.ru/sale/flat/294328857/;Москва;sale;flat;3;6;2;124.3;281760000;Басманный;Потаповский переулок;5С4;Красные ворота;Исторический дом 
Алеся Лунина;realtor;https://www.cian.ru/sale/flat/312417901/;Москва;sale;flat;23;39;2;40.5;25900000;Раменки; Лобачевского;120к1;Аминьевская;Крылья
Динара Хабирова;realtor;https://www.cian.ru/sale/flat/312808410/;Москва;sale;flat;32;57;1;33.0;17200000;Хорошево-Мневники; Народного Ополчения;15К3;Народное Ополчение;Wellton Towers
